名称,不安臨界,画像名,初期位置,備考
男子学生,2,face_01.png,school,
女子学生,3,face_02.png,school,
お嬢様,1,face_03.png,school,
巫女,2,face_04.png,shrine,
刑事,3,face_05.png,city,
サラリーマン,2,face_06.png,city,
情報屋,3,face_07.png,city,
医者,2,face_08.png,hospital,
入院患者,2,face_09.png,hospital,
委員長,2,face_10.png,school,
イレギュラー,3,face_11.png,school,追加引数で例外役職指定、週初準備で役職更新、役職自体はパーソン予定
異世界人,2,face_12.png,shrine,
神格,3,face_13.png,shrine,追加引数で週指定、週初準備で追加引数未満時に待機枠へ
アイドル,2,face_14.png,city,
マスコミ,2,face_15.png,city,
大物,4,face_16.png,city,追加引数でテリトリー指定、週初準備でテリトリーへ大物Cを置く
ナース,2,face_17.png,hospital,
手先,1,face_18.png,waiting,追加引数は無し、週初準備で手先の初期位置と位置を指定
学者,2,face_19.png,hospital,追加引数は無し、週初準備で学者へ任意の三種Cを置く
幻想,3,face_20.png,shrine,
鑑識官,3,face_21.png,city,
A.I.,3,face_22.png,city,役職は有職者予定
先生,2,face_23.png,school,
転校生,2,face_24.png,school,追加引数で日指定、週初準備で転校生を待機枠へ
軍人,3,face_25.png,hospital,
黒猫,0,face_26.png,shrine,
女の子,1,face_27.png,school,
コピーキャット,2,face_28.png,city,追加引数で重複役職指定、週初準備で役職更新、役職自体はパーソン予定
教祖,3,face_29.png,shrine,
ご神木,4,face_30.png,shrine,
妹,3,face_31.png,shrine,役職は非友好拒否予定
アルバイト,1,face_32.png,city,役職はパーソン予定
アルバイト？,3,face_33.png,city,
従者,3,face_34.png,waiting,追加引数でエリア指定、週初準備で従者の初期位置と位置を指定
上位存在,2,face_35.png,shrine,
病院,0,board_01.png,hospital,
神社,0,board_02.png,shrine,
都市,0,board_03.png,city,
学校,0,board_04.png,school,
